"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","41.5","%","3262","1353"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","31","%","7504","2328"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","43.4","%","9607","4171"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","41.4","%","13558","5616"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","53.3","%","3130","1667"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","38.6","%","1617","624"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","27.6","%","3629","1000"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","42.5","%","15656","6661"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","79.3","%","1004","796"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","32.9","%","4188","1379"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","38.4","%","14480","5564"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","5","%","615","31"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","39.1","%","207380","80986"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","10.7","%","84","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","35.2","%","7943","2796"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","51.8","%","4935","2554"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","68","%","7347","4999"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","43.6","%","11439","4992"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","54.8","%","28103","15405"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","38.5","%","1934","745"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","47.6","%","10005","4758"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","31.2","%","3717","1158"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","49.3","%","4926","2429"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","46.3","%","13460","6228"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","57.8","%","3014","1742"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","44.3","%","1645","729"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","34.3","%","3875","1328"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","46.8","%","4624","2163"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","37.7","%","3755","1417"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","44.7","%","13734","6138"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","7","%","628","44"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","45.8","%","199328","91328"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","33.7","%","3875","1304"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","42.9","%","19807","8493"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","26.5","%","7493","1984"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","37.8","%","31175","11781"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","76.3","%","2006","1531"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","41.5","%","28214","11702"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","6","%","1243","75"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","42.4","%","406708","172314"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","13.9","%","151","21"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","42.5","%","375412","159589"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","54.9","%","1688","927"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","34.2","%","635","217"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","58.7","%","4286","2515"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","41","%","1248","512"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","51.4","%","3694","1899"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","43.5","%","568","247"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","61.9","%","7514","4648"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","30.4","%","2416","734"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","41.3","%","9647","3986"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","35.1","%","4867","1710"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","51.9","%","25141","13048"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","20.1","%","478","96"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","31.6","%","1463","463"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","29.3","%","2183","640"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","40.6","%","7619","3095"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","14.2","%","964","137"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","24.5","%","2812","689"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","24.1","%","3625","873"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","35.7","%","11894","4247"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","62.5","%","64","40"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","74.1","%","938","695"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","25.8","%","979","253"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","49.3","%","4203","2072"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","21.3","%","2699","575"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","20","%","38920","7784"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","43.3","%","237718","102818"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","42.6","%","167177","71213"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","FSM","All","All","All","All state-funded","All","25.2","%","107","27"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","Non-FSM","All","All","All","All state-funded","All","57.6","%","771","444"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","48","%","535","257"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","67.7","%","3847","2603"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","43.6","%","1256","548"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","54.5","%","3679","2006"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","13.2","%","38","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","24.1","%","29","7"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","20.1","%","23212","4663"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","49.7","%","160877","80015"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","FSM","All","All","All","All state-funded","All","27.1","%","107","29"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","Non-FSM","All","All","All","All state-funded","All","60.7","%","703","427"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","40.5","%","1170","474"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","62.9","%","8133","5118"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","42.3","%","2504","1060"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","53","%","7373","3905"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","46.5","%","1070","498"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","65.4","%","14359","9396"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","FSM","All","All","All","All state-funded","All","31.5","%","4650","1467"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","Non-FSM","All","All","All","All state-funded","All","43.7","%","18852","8245"
